,ActivityCategory,ActivityName,LocationType,Name,Category,Code,Aggregation,Units,ReportingFrequency,mandatory,FormFieldType,AttributeValue,multipleAllowed,Description,sort
202,FOOD/LIV[2]Promote Safe/Nutr/Diverse Food,[REF2.1]Nutrition Support & Education,SyrRefRespRRP6,Urban/Rural Syrian Women (Age 18 and above) - # trained on nutritional practices,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
212,FOOD/LIV[3]Coordination & Assessments,[REF3.1]InterAgency Data Collection Systems,SyrRefRespRRP6,# interagency food security assessments conducted,Indicator,,0,# of assessments,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
213,FOOD/LIV[3]Coordination & Assessments,[REF3.1]InterAgency Data Collection Systems,SyrRefRespRRP6,# of food security and livelihood projects justified through needs basis using analysed data,Indicator,,0,# of project,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
214,FOOD/LIV[3]Coordination & Assessments,[REF3.1]InterAgency Data Collection Systems,SyrRefRespRRP6,# of food security and livelihoods coordination meetings conducted,Indicator,,0,# of meetings,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1504,FOOD/LIV[3]Coordination & Assessments,[RES3.1]Nat. Capacity for Analysis/Policy,SyrRefRespRRP6,"# of livelihoods and Food Security assessments conducted, publications formulated and awareness events conducted with specific focus on gender",Indicator,,0,#,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1523,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.1]Short-Term Employment,SyrRefRespRRP6,Camps Syrian Men (Age 18 and above)  provided short-term employment opportunities,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1520,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.1]Short-Term Employment,SyrRefRespRRP6,Camps Syrian Women (Age 18 and above) provided short-term employment opportunities,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1531,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.1]Short-Term Employment,SyrRefRespRRP6,Host Community Men (Age 18 and above)  provided short-term employment opportunities,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1528,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.1]Short-Term Employment,SyrRefRespRRP6,Host Community Women (Age 18 and above)  provided short-term employment opportunities,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1527,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.1]Short-Term Employment,SyrRefRespRRP6,Urban/Rural Syrian Men (Age 18 and above)  provided short-term employment opportunities,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1524,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.1]Short-Term Employment,SyrRefRespRRP6,Urban/Rural Syrian Women (Age 18 and above)  provided short-term employment opportunities,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1535,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.2] Active Labor market programs,SyrRefRespRRP6,Camps Syrian Boys (Age 0-17)  trained with vocational training,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1537,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.2] Active Labor market programs,SyrRefRespRRP6,Camps Syrian Girls (Age 0-17) trained with vocational training,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1538,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.2] Active Labor market programs,SyrRefRespRRP6,Camps Syrian Men (Age 18 and above) trained with vocational training,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1536,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.2] Active Labor market programs,SyrRefRespRRP6,Camps Syrian Women (Age 18 and above) trained with vocational training,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1545,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.2] Active Labor market programs,SyrRefRespRRP6,Host Community Boys (Age 0-17) trained with vocational training,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1544,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.2] Active Labor market programs,SyrRefRespRRP6,Host Community Girls (Age 0-17) trained with vocational training,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1546,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.2] Active Labor market programs,SyrRefRespRRP6,Host Community Men (Age 18 and above) trained with vocational training,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1543,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.2] Active Labor market programs,SyrRefRespRRP6,Host Community Women (Age 18 and above) trained with vocational training,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1541,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.2] Active Labor market programs,SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17) trained with vocational training,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1540,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.2] Active Labor market programs,SyrRefRespRRP6,Urban/Rural Syrian Girls (Age 0-17) trained with vocational training,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1542,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.2] Active Labor market programs,SyrRefRespRRP6,Urban/Rural Syrian Men (Age 18 and above) trained with vocational training,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1539,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.2] Active Labor market programs,SyrRefRespRRP6,Urban/Rural Syrian Women (Age 18 and above) trained with vocational training,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1549,FOOD/LIV[4]Job Opportunities for vulnerable,[RES4.3] Improve Labor market governance,SyrRefRespRRP6,# of new inspectors/employment officers,Indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1564,FOOD/LIV[5]Local economies revived,[RES5.1] MSMEs for vuln. Households,SyrRefRespRRP6,"# of microbusinesses established with start-up support including grants, equipment and training",Indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1581,FOOD/LIV[5]Local economies revived,[RES5.2] Local Econ Dvlpmt/Private-Public,SyrRefRespRRP6,# of associations and cooperatives supported and formulated to promote local economic activities and social cohesion in host communities,Indicator,,0,#,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1580,FOOD/LIV[5]Local economies revived,[RES5.2] Local Econ Dvlpmt/Private-Public,SyrRefRespRRP6,# of socio-economic infrastructures rehabilitated and made available to the communities,Indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1599,FOOD/LIV[5]Local economies revived,[RES5.3] Agrc/Livestock-based livelihoods,SyrRefRespRRP6,# of farmers participating in Farmer Field School,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1611,FOOD/LIV[6]Pastoral Livelihooods,[RES6.1] Transboundary Animal/Plant disease,SyrRefRespRRP6,# of persons engaged in livestock and crop production that benefit from transboundary disease and pest control and surveillance activities,Indicator,,0,# of persons,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1626,FOOD/LIV[6]Pastoral Livelihooods,[RES6.2] Natural Resource Management Badia,SyrRefRespRRP6,# of appropriate community based and gender sensitive water management approaches tested and validated,Indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
1641,FOOD/LIV[6]Pastoral Livelihooods,"[RES6.3] Forestry, Rangeland, Water assets",SyrRefRespRRP6,# of assets restored or created and benefitting the communities,Indicator,,0,# of assets.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
232,HLTH[1]Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,SyrRefRespRRP6,Camps Syrian Boys (Age 0-17) # of polio and/or measles doses provided,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
231,HLTH[1]Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,SyrRefRespRRP6,Camps Syrian Girls (Age 0-17) # of polio and/or measles doses provided,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
240,HLTH[1]Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,SyrRefRespRRP6,Host Community Boys (Age 0-17) # of polio and/or measles doses provided,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
239,HLTH[1]Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,SyrRefRespRRP6,Host Community Girls (Age 0-17) # of polio and/or measles doses provided,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
236,HLTH[1]Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17) # of polio and/or measles doses provided,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
235,HLTH[1]Primary Health Care,[REF1.1]Comm. Disease Mngt / EPI services,SyrRefRespRRP6,Urban/Rural Syrian Girls (Age 0-17) # of polio and/or measles doses provided,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
244,HLTH[1]Primary Health Care,[REF1.2]Improved NCD Mngt,SyrRefRespRRP6,# of Health care staff (including MoH) trained to provide NCD management,Indicator,,0,# of staff,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
261,HLTH[1]Primary Health Care,[REF1.3]Reproductive Health Services,SyrRefRespRRP6,Camps Syrian Girls (Age 0-17) # of antenatal care visits provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
260,HLTH[1]Primary Health Care,[REF1.3]Reproductive Health Services,SyrRefRespRRP6,Camps Syrian Women (Age 18 and above) # of antenatal care visits provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
269,HLTH[1]Primary Health Care,[REF1.3]Reproductive Health Services,SyrRefRespRRP6,Host Community Girls (Age 0-17) # of antenatal care visits provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
268,HLTH[1]Primary Health Care,[REF1.3]Reproductive Health Services,SyrRefRespRRP6,Host Community Women (Age 18 and above )# of antenatal care visits provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
265,HLTH[1]Primary Health Care,[REF1.3]Reproductive Health Services,SyrRefRespRRP6,Urban/Rural Syrian Girls (Age 0-17) # of antenatal care visits provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
264,HLTH[1]Primary Health Care,[REF1.3]Reproductive Health Services,SyrRefRespRRP6,Urban/Rural Syrian Women (Age 18 and above) # of antenatal care visits provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
277,HLTH[1]Primary Health Care,[REF1.4]SGBV clinical services,Country,Camps Syrian Boys (Age 0-17) # of SGBV survivors who access medical care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
276,HLTH[1]Primary Health Care,[REF1.4]SGBV clinical services,Country,Camps Syrian Girls (Age 0-17) # of SGBV survivors who access medical care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
278,HLTH[1]Primary Health Care,[REF1.4]SGBV clinical services,Country,Camps Syrian Men (Age 18 and above) # of SGBV survivors who access medical care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
275,HLTH[1]Primary Health Care,[REF1.4]SGBV clinical services,Country,Camps Syrian Women (Age 18 and above) # of SGBV survivors who access medical care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
285,HLTH[1]Primary Health Care,[REF1.4]SGBV clinical services,Country,Host Community Boys (Age 0-17) # of SGBV survivors who access medical care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
284,HLTH[1]Primary Health Care,[REF1.4]SGBV clinical services,Country,Host Community Girls (Age 0-17) # of SGBV survivors who access medical care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
286,HLTH[1]Primary Health Care,[REF1.4]SGBV clinical services,Country,Host Community Men (Age 18 and above) # of SGBV survivors who access medical care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
283,HLTH[1]Primary Health Care,[REF1.4]SGBV clinical services,Country,Host Community Women (Age 18 and above) # of SGBV survivors who access medical care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
281,HLTH[1]Primary Health Care,[REF1.4]SGBV clinical services,Country,Urban/Rural Syrian Boys (Age 0-17) # of SGBV survivors who access medical care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
280,HLTH[1]Primary Health Care,[REF1.4]SGBV clinical services,Country,Urban/Rural Syrian Girls (Age 0-17) # of SGBV survivors who access medical care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
282,HLTH[1]Primary Health Care,[REF1.4]SGBV clinical services,Country,Urban/Rural Syrian Men (Age 18 and Above) # of SGBV survivors who access medical care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
279,HLTH[1]Primary Health Care,[REF1.4]SGBV clinical services,Country,Urban/Rural Syrian Women (Age 18 and above) # of SGBV survivors who access medical care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
289,HLTH[1]Primary Health Care,[REF1.5]Inf/Child Feeding practice,SyrRefRespRRP6,# caregivers/ mothers reached with IYCF services,Indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
304,HLTH[1]Primary Health Care,[REF1.6]Mental Health Services (primary),SyrRefRespRRP6,# of facilities providing mental health services,Indicator,,0,# of infrastruc,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
322,HLTH[1]Primary Health Care,[RES1.1]EPI services supported,SyrRefRespRRP6,Camps Syrian Boys (Age 0-17) # of polio and/or measles doses provided,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
321,HLTH[1]Primary Health Care,[RES1.1]EPI services supported,SyrRefRespRRP6,Camps Syrian Girls (Age 0-17) # of polio and/or measles doses provided,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
330,HLTH[1]Primary Health Care,[RES1.1]EPI services supported,SyrRefRespRRP6,Host Community Boys (Age 0-17) # of polio and/or measles doses provided,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
329,HLTH[1]Primary Health Care,[RES1.1]EPI services supported,SyrRefRespRRP6,Host Community Girls (Age 0-17) # of polio and/or measles doses provided,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
326,HLTH[1]Primary Health Care,[RES1.1]EPI services supported,SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17) # of polio and/or measles doses provided,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
325,HLTH[1]Primary Health Care,[RES1.1]EPI services supported,SyrRefRespRRP6,Urban/Rural Syrian Girls (Age 0-17) # of polio and/or measles doses provided,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
334,HLTH[1]Primary Health Care,[RES1.2]Improve MOH NCD capacity,SyrRefRespRRP6,# of clinics providing integrated management of NCDs,Indicator,,0,# of infrastruc,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
349,HLTH[1]Primary Health Care,[RES1.3]Reprod. Services at primary level,SyrRefRespRRP6,# of MoH primary health care centres providing at least 4 modern family planning methods ,Indicator,,0,# of infrastruc,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
364,HLTH[1]Primary Health Care,[RES1.4]SGBV clinical services in MoH clinics,SyrRefRespRRP6,# of MoH staff trained in provision of SGBV related clinical services,Indicator,,0,# of staff,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
394,HLTH[1]Primary Health Care,[RES1.5]MoH Baby Friendly Hospital,SyrRefRespRRP6,# of MoH hospitals meeting the criteria for BFHI accreditation,Indicator,,0,# of infrastruc,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
379,HLTH[1]Primary Health Care,[RES1.6]MoH Mental Health (primary),SyrRefRespRRP6,# of general health care professionals trained and/or supervised on managing mental health conditions,Indicator,,0,# of staff,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
412,HLTH[2]Secondary/Tertiary Care,"[REF2.1]Comprehensive secondary mental health service provided,",SyrRefRespRRP6,Camps Syrian Boys (Age 0-17) # of consultations provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
411,HLTH[2]Secondary/Tertiary Care,"[REF2.1]Comprehensive secondary mental health service provided,",SyrRefRespRRP6,Camps Syrian Girls (Age 0-17) # of consultations provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
413,HLTH[2]Secondary/Tertiary Care,"[REF2.1]Comprehensive secondary mental health service provided,",SyrRefRespRRP6,Camps Syrian Men (Age 18 and above) # of consultations provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
410,HLTH[2]Secondary/Tertiary Care,"[REF2.1]Comprehensive secondary mental health service provided,",SyrRefRespRRP6,Camps Syrian Women (Age 18 and above) # of consultations provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
420,HLTH[2]Secondary/Tertiary Care,"[REF2.1]Comprehensive secondary mental health service provided,",SyrRefRespRRP6,Host Community Boys (Age 0-17) # of consultations provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
419,HLTH[2]Secondary/Tertiary Care,"[REF2.1]Comprehensive secondary mental health service provided,",SyrRefRespRRP6,Host Community Girls (Age 0-17) # of consultations provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
421,HLTH[2]Secondary/Tertiary Care,"[REF2.1]Comprehensive secondary mental health service provided,",SyrRefRespRRP6,Host Community Men (Age 18 and above) # of consultations provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
418,HLTH[2]Secondary/Tertiary Care,"[REF2.1]Comprehensive secondary mental health service provided,",SyrRefRespRRP6,Host Community Women (Age 18 and above) # of consultations provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
416,HLTH[2]Secondary/Tertiary Care,"[REF2.1]Comprehensive secondary mental health service provided,",SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17) # of consultations provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
415,HLTH[2]Secondary/Tertiary Care,"[REF2.1]Comprehensive secondary mental health service provided,",SyrRefRespRRP6,Urban/Rural Syrian Girls (Age 0-17) # of consultations provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
417,HLTH[2]Secondary/Tertiary Care,"[REF2.1]Comprehensive secondary mental health service provided,",SyrRefRespRRP6,Urban/Rural Syrian Men (Age 18 and above) # of consultations provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
414,HLTH[2]Secondary/Tertiary Care,"[REF2.1]Comprehensive secondary mental health service provided,",SyrRefRespRRP6,Urban/Rural Syrian Women (Age 18 and above) # of consultations provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
427,HLTH[2]Secondary/Tertiary Care,[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided,SyrRefRespRRP6,Camps Syrian  Boys (Age 0-17) # of sessions  of rehabilitation provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
426,HLTH[2]Secondary/Tertiary Care,[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided,SyrRefRespRRP6,Camps Syrian  Girls (Age 0-17) # of sessions  of rehabilitation provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
425,HLTH[2]Secondary/Tertiary Care,[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided,SyrRefRespRRP6,Camps Syrian  Women (Age 18 and above) # of sessions  of rehabilitation provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
428,HLTH[2]Secondary/Tertiary Care,[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided,SyrRefRespRRP6,Camps Syrian Men (Age 18 and above) # of sessions  of rehabilitation provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
435,HLTH[2]Secondary/Tertiary Care,[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided,SyrRefRespRRP6,Host Community Boys (Age 0-17) # of sessions  of rehabilitation provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
434,HLTH[2]Secondary/Tertiary Care,[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided,SyrRefRespRRP6,Host Community Girls (Age 0-17) # of sessions  of rehabilitation provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
436,HLTH[2]Secondary/Tertiary Care,[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided,SyrRefRespRRP6,Host Community Men (Age 18 and above) # of sessions  of rehabilitation provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
433,HLTH[2]Secondary/Tertiary Care,[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided,SyrRefRespRRP6,Host Community Women (Age 18 and above) # of sessions  of rehabilitation provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
431,HLTH[2]Secondary/Tertiary Care,[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided,SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17) # of sessions  of rehabilitation provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
430,HLTH[2]Secondary/Tertiary Care,[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided,SyrRefRespRRP6,Urban/Rural Syrian Girls (Age 0-17) # of sessions  of rehabilitation provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
432,HLTH[2]Secondary/Tertiary Care,[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided,SyrRefRespRRP6,Urban/Rural Syrian Men (Age 18 and above) # of sessions  of rehabilitation provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
429,HLTH[2]Secondary/Tertiary Care,[REF2.2]Comprehensive rehabilitation for adults and children with war and non war related injuries and impairments provided,SyrRefRespRRP6,Urban/Rural Syrian Women (Age 18 and above) # of sessions  of rehabilitation provided ,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
439,HLTH[2]Secondary/Tertiary Care,[REF2.3]Capacity for convalescent care for war wounded expanded,SyrRefRespRRP6,# of new nursing/ convalescent care beds available,Indicator,,0,# of beds,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
454,HLTH[2]Secondary/Tertiary Care,"[REF2.4] Access to emergency obstetric, neonatal and child care provided",SyrRefRespRRP6,% of deliveries in presence of skilled attendant,Indicator,,0,% of deliveries,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
472,HLTH[2]Secondary/Tertiary Care,[REF2.5]Secondary/Tertiary Referrals,SyrRefRespRRP6,Camps Syrian Boys (Age 0-17) # referred for secondary and tertiary care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
471,HLTH[2]Secondary/Tertiary Care,[REF2.5]Secondary/Tertiary Referrals,SyrRefRespRRP6,Camps Syrian Girls (Age 0-17) # referred for secondary and tertiary care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
473,HLTH[2]Secondary/Tertiary Care,[REF2.5]Secondary/Tertiary Referrals,SyrRefRespRRP6,Camps Syrian Men (Age 18 and above) # referred for secondary and tertiary care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
470,HLTH[2]Secondary/Tertiary Care,[REF2.5]Secondary/Tertiary Referrals,SyrRefRespRRP6,Camps Syrian Women (Age 18 and above) # referred for secondary and tertiary care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
480,HLTH[2]Secondary/Tertiary Care,[REF2.5]Secondary/Tertiary Referrals,SyrRefRespRRP6,Host Community Boys (Age 0-17) # referred for secondary and tertiary care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
479,HLTH[2]Secondary/Tertiary Care,[REF2.5]Secondary/Tertiary Referrals,SyrRefRespRRP6,Host Community Girls (Age 0-17) # referred for secondary and tertiary care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
481,HLTH[2]Secondary/Tertiary Care,[REF2.5]Secondary/Tertiary Referrals,SyrRefRespRRP6,Host Community Men (Age 18 and above) # referred for secondary and tertiary care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
478,HLTH[2]Secondary/Tertiary Care,[REF2.5]Secondary/Tertiary Referrals,SyrRefRespRRP6,Host Community Women (Age 18 and above) # referred for secondary and tertiary care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
476,HLTH[2]Secondary/Tertiary Care,[REF2.5]Secondary/Tertiary Referrals,SyrRefRespRRP6,Urban/Rural Syrian Boys (Age 0-17) # referred for secondary and tertiary care,Breakdown of main indicator,,0,# of benef.,0,FALSE,Indicator,,,Liaise with Sector lead for indicator description,
