"","Category","Partner","Area","Objective","Output","Sector","Implementation","Total","RegionCODE","Area2"
"3553","Refugee","UNHCR","Country Wide","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.5]Reduce Social Tensions thr. Livelih","PROTECTION","indirect",2266346,1,"Country Wide Intervention"
"3560","Refugee","UNHCR","Country Wide","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","PROTECTION","direct",878209,1,"Country Wide Intervention"
"3562","Refugee","UNHCR","Country Wide","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.2]Community self-mngmt","PROTECTION","indirect",4100000,1,"Country Wide Intervention"
"3572","Refugee","UNFPA","Country Wide","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","PROTECTION","indirect",250000,1,"Country Wide Intervention"
"3579","Refugee","UNHCR","Country Wide","PROT[REF1.1]Refugee Rights Respected","[REF1.1.1]Border Reception/Transport/Comm. Po","PROTECTION","direct",2e+06,1,"Country Wide Intervention"
"3586","Refugee","UNICEF","Country Wide","EDU[REF3.3]Alternative Education","[REF3.3.2]Life Skills","EDUCATION","indirect",3940000,1,"Country Wide Intervention"
"3588","Refugee","UNHCR","Country Wide","PROT[REF1.1]Refugee Rights Respected","[REF1.1.4]Resettlement","PROTECTION","direct",5703269,1,"Country Wide Intervention"
"3600","Refugee","UNHCR","Country Wide","PROT[REF1.1]Refugee Rights Respected","[REF1.1.1]Border Reception/Transport/Comm. Po","PROTECTION","direct",4e+06,1,"Country Wide Intervention"
"3610","Refugee","UNICEF","Cyber City Refugee Center","BN[REF2.1]Life Saving Basic Needs","[REF2.1.4]Winterization needs in Camps","BASIC NEEDS","direct",5000,1707,"Irbid"
"3613","Refugee","UNICEF","Cyber City Refugee Center","WASH [REF1.1]Access to Water in Camps","[REF1.1.1]Water Trucking","WASH ","indirect",350000,1707,"Irbid"
"3616","Refugee","UNICEF","Cyber City Refugee Center","WASH [REF2.1]Sanitation in Camps","[REF2.1.4]SWM","WASH ","indirect",225000,1707,"Irbid"
"3621","Refugee","UNFPA","Cyber City Refugee Center","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","PROTECTION","indirect",10000,1707,"Irbid"
"3623","Refugee","UNICEF","Cyber City Refugee Center","WASH [REF2.1]Sanitation in Camps","[REF2.1.1]Water collection/disposal","WASH ","indirect",1360000,1707,"Irbid"
"3624","Refugee","UNICEF","Cyber City Refugee Center","WASH [REF3.1]Hygiene in Camps","[REF3.1.1]Hygiene promotion","WASH ","",50000,1707,"Irbid"
"3625","Refugee","UNICEF","Cyber City Refugee Center","WASH [REF3.1]Hygiene in Camps","[REF3.1.2]Schools etc Hygiene promotion","WASH ","indirect",150000,1707,"Irbid"
"3641","Refugee","UNHCR","Emirati Jordanian Camp (EJC)","PROT[REF1.4]Child Protection","[REF1.4.4]Access Multi-Sector services","PROTECTION","direct",15646,1712,"Zarqa"
"3642","Refugee","WarChild UK","Emirati Jordanian Camp (EJC)","EDU[REF3.1]EarlyChildhood","[REF3.1.2]KG facilitators recruited","EDUCATION","direct",30000,1712,"Zarqa"
"3644","Refugee","UNFPA","Emirati Jordanian Camp (EJC)","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","PROTECTION","indirect",12000,1712,"Zarqa"
"3646","Refugee","WarChild UK","Emirati Jordanian Camp (EJC)","EDU[REF3.1]EarlyChildhood","[REF3.1.4]Parent outreach","EDUCATION","direct",20000,1712,"Zarqa"
"3655","Refugee","WarChild UK","Emirati Jordanian Camp (EJC)","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","PROTECTION","direct",15000,1712,"Zarqa"
"3656","Refugee","WarChild UK","Emirati Jordanian Camp (EJC)","EDU[REF3.1]EarlyChildhood","[REF3.1.1]Access to KG centres","EDUCATION","direct",3e+05,1712,"Zarqa"
"3657","Refugee","WarChild UK","Emirati Jordanian Camp (EJC)","EDU[REF3.1]EarlyChildhood","[REF3.1.3]KG centres built","EDUCATION","direct",50000,1712,"Zarqa"
"3679","Refugee","IR","Irbid City","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","indirect",250000,1707,"Irbid"
"3697","Refugee","IR","Irbid City","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","HEALTH","indirect",130000,1707,"Irbid"
"3700","Refugee","UPP","Irbid City","PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","PROTECTION","direct",20954,1707,"Irbid"
"3731","Refugee","UPP","Irbid City","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","PROTECTION","direct",41906,1707,"Irbid"
"3733","Refugee","UPP","Irbid City","PROT[REF1.1]Refugee Rights Respected","[REF1.1.5]Access to Legal Assistance","PROTECTION","direct",27937,1707,"Irbid"
"3738","Refugee","DRC","Irbid City","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.5]Reduce Social Tensions thr. Livelih","PROTECTION","direct",1e+06,1707,"Irbid"
"3752","Refugee","MECI","Irbid City","EDU[REF3.3]Alternative Education","[REF3.3.1]Informal Education","EDUCATION","direct",41667,1707,"Irbid"
"3758","Refugee","IOCC","Irbid City","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",28532,1707,"Irbid"
"3769","Refugee","MECI","Irbid City","EDU[REF3.3]Alternative Education","[REF3.3.1]Informal Education","EDUCATION","direct",41667,1707,"Irbid"
"3783","Refugee","IOCC","Irbid City","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","SHELTER","direct",80126,1707,"Irbid"
"3784","Refugee","MECI","Irbid City","EDU[REF3.3]Alternative Education","[REF3.3.2]Life Skills","EDUCATION","direct",41667,1707,"Irbid"
"3809","Refugee","UPP","Irbid City","PROT[REF1.3]SGBV","[REF.1.3.3]Capacity of Service Providers","PROTECTION","direct",13970,1707,"Irbid"
"3812","Refugee","UPP","Irbid City","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","PROTECTION","direct",34924,1707,"Irbid"
"3818","Refugee","IOCC","Irbid City","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","PROTECTION","direct",324718,1707,"Irbid"
"3820","Refugee","UPP","Irbid City","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",69843,1707,"Irbid"
"3838","Refugee","Caritas","Irbid Governorate","WASH [REF2.3]Sanit.Repair/Ext","[REF2.3.1]Sewage Treatment in urban","WASH ","direct",23305,1707,"Irbid"
"3842","Refugee","ACF","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","PROTECTION","direct",2e+05,1707,"Irbid"
"3857","Refugee","WVI","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",196689.33,1707,"Irbid"
"3860","Refugee","IMC","Irbid Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.6]Mental Health Services (primary)","HEALTH","direct",31056,1707,"Irbid"
"3864","Refugee","UNICEF","Irbid Governorate","WASH [REF2.3]Sanit.Repair/Ext","[REF2.3.1]Sewage Treatment in urban","WASH ","indirect",1666666.7,1707,"Irbid"
"3874","Refugee","CARE","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",1e+06,1707,"Irbid"
"3878","Refugee","IRC","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",1308788,1707,"Irbid"
"3884","Refugee","MEDAIR","Irbid Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.1]Community Health Teams","HEALTH","direct",22500,1707,"Irbid"
"3887","Refugee","WVI","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",163333.33,1707,"Irbid"
"3891","Refugee","NRC","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.2]Community self-mngmt","PROTECTION","direct",50000,1707,"Irbid"
"3892","Refugee","Caritas","Irbid Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.3]Reproductive Health Services","HEALTH","direct",86016.9,1707,"Irbid"
"3923","Refugee","IRC","Irbid Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.5]IYCF practices promoted","HEALTH","direct",56644.65,1707,"Irbid"
"3928","Refugee","ACF","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",1e+05,1707,"Irbid"
"3932","Refugee","TDH","Irbid Governorate","PROT[REF1.4]Child Protection","[REF1.4.4]Access Multi-Sector services","PROTECTION","direct",5105,1707,"Irbid"
"3934","Refugee","ACF","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",625000,1707,"Irbid"
"3936","Refugee","UNICEF","Irbid Governorate","WASH [REF2.2]Sanitation in Urban","[REF2.2.2]Household wastewater mngt","WASH ","indirect",11111.1,1707,"Irbid"
"3938","Refugee","Caritas","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",12711,1707,"Irbid"
"3954","Refugee","WVI","Irbid Governorate","EDU[REF3.3]Alternative Education","[REF3.3.1]Informal Education","EDUCATION","direct",348594.84,1707,"Irbid"
"3961","Refugee","NEF","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.5]Reduce Social Tensions thr. Livelih","PROTECTION","direct",32278,1707,"Irbid"
"3965","Refugee","WVI","Irbid Governorate","PROT[REF1.4]Child Protection","[REF1.4.3]Community-Based Mechnms.","PROTECTION","direct",390000,1707,"Irbid"
"3980","Refugee","Mercy Corps","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","PROTECTION","direct",16666,1707,"Irbid"
"3990","Refugee","IMC","Irbid Governorate","PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","PROTECTION","direct",50000,1707,"Irbid"
"4001","Refugee","UNHCR","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",5596109,1707,"Irbid"
"4011","Refugee","WVI","Irbid Governorate","WASH [REF1.4]Services in urban access to water","[REF1.4.1]Schools etc access Water","WASH ","",472773,1707,"Irbid"
"4013","Refugee","Caritas","Irbid Governorate","EDU[REF3.4]Teritiary Education","[REF3.4.4]Vocational/Skills Training","EDUCATION","direct",25221.88857,1707,"Irbid"
"4028","Refugee","Caritas","Irbid Governorate","WASH [REF2.2]Sanitation in Urban","[REF2.2.1]Sanitation improv. In urban","WASH ","direct",15537,1707,"Irbid"
"4039","Refugee","LWF","Irbid Governorate","EDU[REF3.2]Acces to Formal Education","[REF3.2.1]School renovation/equip","EDUCATION","direct",624159,1707,"Irbid"
"4049","Refugee","NRC","Irbid Governorate","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","SHELTER","direct",1050000,1707,"Irbid"
"4054","Refugee","WVI","Irbid Governorate","PROT[REF1.4]Child Protection","[REF1.4.1]Child Protection systems","PROTECTION","direct",91442.5,1707,"Irbid"
"4059","Refugee","UNICEF","Irbid Governorate","WASH [REF1.4]Services in urban access to water","[REF1.4.1]Schools etc access Water","WASH ","indirect",113333,1707,"Irbid"
"4062","Refugee","IRC","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",37190,1707,"Irbid"
"4063","Refugee","UNFPA","Irbid Governorate","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","PROTECTION","indirect",5e+05,1707,"Irbid"
"4066","Refugee","Caritas","Irbid Governorate","EDU[REF3.1]EarlyChildhood","[REF3.1.4]Parent outreach","EDUCATION","direct",439,1707,"Irbid"
"4069","Refugee","Mercy Corps","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",50000,1707,"Irbid"
"4075","Refugee","TDH","Irbid Governorate","EDU[REF3.3]Alternative Education","[REF3.3.1]Informal Education","EDUCATION","direct",5757,1707,"Irbid"
"4079","Refugee","WVI","Irbid Governorate","EDU[REF3.2]Acces to Formal Education","[REF3.2.2]Mobilize Teachers","EDUCATION","indirect",747814,1707,"Irbid"
"4081","Refugee","JHAS","Irbid Governorate","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.3]Convalescent care for War wounded","HEALTH","direct",250000,1707,"Irbid"
"4086","Refugee","NEF","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",171714,1707,"Irbid"
"4103","Refugee","UNFPA","Irbid Governorate","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.4]Emergency Obstetric Care","HEALTH","indirect",1e+05,1707,"Irbid"
"4108","Refugee","MEDAIR","Irbid Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.5]IYCF practices promoted","HEALTH","direct",57500,1707,"Irbid"
"4109","Refugee","UNICEF","Irbid Governorate","WASH [REF1.2]Access to Water in Urban","[REF1.2.2]Household Water Improv.","WASH ","indirect",66666.7,1707,"Irbid"
"4124","Refugee","Caritas","Irbid Governorate","SHLT[REF2.3]Upgrade Housing Units","[REF2.3.1]Upgrade Housing urban/rural","SHELTER","direct",36300,1707,"Irbid"
"4129","Refugee","Caritas","Irbid Governorate","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.2]Engage Parents & Communities","EDUCATION","direct",4937.35,1707,"Irbid"
"4134","Refugee","ACF","Irbid Governorate","FOOD/LIV[1.2]Promote Safe/Nutr/Diverse Food","[REF1.2.2]Awareness Nutr. Practices","FOOD/LIVELIHOOD","direct",20000,1707,"Irbid"
"4137","Refugee","WarChild UK","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","PROTECTION","direct",114000,1707,"Irbid"
"4138","Refugee","UNICEF","Irbid Governorate","WASH [REF2.4]Services in Urban Sanitation","[REF2.4.1]Schools etc access sanitation","WASH ","indirect",138181.8,1707,"Irbid"
"4143","Refugee","JHAS","Irbid Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","HEALTH","direct",30000,1707,"Irbid"
"4144","Refugee","ACF","Irbid Governorate","FOOD/LIV[1.2]Promote Safe/Nutr/Diverse Food","[REF1.2.1]Assmt on Nutr. Knowledge","FOOD/LIVELIHOOD","direct",30000,1707,"Irbid"
"4146","Refugee","Mercy Corps","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",616666,1707,"Irbid"
"4149","Refugee","IRC","Irbid Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.2]Community Hlth Network","HEALTH","direct",550000,1707,"Irbid"
"4171","Refugee","Caritas","Irbid Governorate","FOOD/LIV[1.2]Promote Safe/Nutr/Diverse Food","[REF1.2.2]Awareness Nutr. Practices","FOOD/LIVELIHOOD","direct",35750,1707,"Irbid"
"4177","Refugee","WVI","Irbid Governorate","PROT[REF1.4]Child Protection","[REF1.4.2]Advocacy and Knowledge Gen.","PROTECTION","direct",3900000,1707,"Irbid"
"4184","Refugee","Caritas","Irbid Governorate","EDU[REF3.3]Alternative Education","[REF3.3.2]Life Skills","EDUCATION","direct",24717.6,1707,"Irbid"
"4193","Refugee","Caritas","Irbid Governorate","EDU[REF3.3]Alternative Education","[REF3.3.1]Informal Education","EDUCATION","direct",219689.1,1707,"Irbid"
"4194","Refugee","CARE","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.2]Community self-mngmt","PROTECTION","direct",120000,1707,"Irbid"
"4197","Refugee","Intersos","Irbid Governorate","WASH [REF3.2]Hygiene in Urban","[REF3.2.2]Schools etc Hygi promotion","WASH ","direct",16000,1707,"Irbid"
"4199","Refugee","WarChild UK","Irbid Governorate","EDU[REF3.3]Alternative Education","[REF3.3.1]Informal Education","EDUCATION","direct",143000,1707,"Irbid"
"4200","Refugee","IRC","Irbid Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.3]Reproductive Health Services","HEALTH","direct",5582.235,1707,"Irbid"
"4215","Refugee","Caritas","Irbid Governorate","SHLT[REF2.2]Complete Housing Units","[REF2.2.1]Awareness on Housing Rights","SHELTER","direct",19360,1707,"Irbid"
"4219","Refugee","IRD","Irbid Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.1]Community Health Teams","HEALTH","direct",50000,1707,"Irbid"
"4229","Refugee","TDH","Irbid Governorate","PROT[REF1.4]Child Protection","[REF1.4.3]Community-Based Mechnms.","PROTECTION","direct",3567,1707,"Irbid"
"4238","Refugee","Caritas","Irbid Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.2]Improved NCD Mngt","HEALTH","direct",6709,1707,"Irbid"
"4252","Refugee","ACF","Irbid Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.6]Mental Health Services (primary)","HEALTH","direct",25000,1707,"Irbid"
"4258","Refugee","Intersos","Irbid Governorate","WASH [REF2.4]Services in Urban Sanitation","[REF2.4.1]Schools etc access sanitation","WASH ","direct",220000,1707,"Irbid"
"4261","Refugee","CARE","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.5]Reduce Social Tensions thr. Livelih","PROTECTION","direct",7e+05,1707,"Irbid"
"4264","Refugee","MEDAIR","Irbid Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.2]Community Hlth Network","HEALTH","direct",7500,1707,"Irbid"
"4277","Refugee","IRC","Irbid Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.4]Mat/Child Health mngt","HEALTH","direct",56644.65,1707,"Irbid"
"4282","Refugee","IRC","Irbid Governorate","HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.1]Community Health Teams","HEALTH","direct",550000,1707,"Irbid"
"4298","Refugee","Intersos","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.2]Community self-mngmt","PROTECTION","direct",19929,1707,"Irbid"
"4304","Refugee","IRC","Irbid Governorate","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","PROTECTION","direct",16000,1707,"Irbid"
"4307","Refugee","IRC","Irbid Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","HEALTH","direct",226578.6,1707,"Irbid"
"4310","Refugee","ACF","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.5]Reduce Social Tensions thr. Livelih","PROTECTION","direct",85000,1707,"Irbid"
"4326","Refugee","Intersos","Irbid Governorate","PROT[REF1.3]SGBV","[REF.1.3.4]Risk of SEA reduced","PROTECTION","direct",15435,1707,"Irbid"
"4341","Refugee","UNHCR","Irbid Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.1]Comm. Disease Mngt / EPI services","HEALTH","indirect",1651204,1707,"Irbid"
"4351","Refugee","FPSC","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","PROTECTION","direct",930000,1707,"Irbid"
"4372","Refugee","NRC","Irbid Governorate","SHLT[REF2.2]Complete Housing Units","[REF2.2.2]Increase no. of shelters in urban/r","SHELTER","direct",7350000,1707,"Irbid"
"4373","Refugee","NRC","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",2e+05,1707,"Irbid"
"4391","Refugee","Caritas","Irbid Governorate","EDU[REF3.1]EarlyChildhood","[REF3.1.1]Access to KG centres","EDUCATION","direct",76751.03,1707,"Irbid"
"4394","Refugee","Intersos","Irbid Governorate","EDU[REF3.3]Alternative Education","[REF3.3.2]Life Skills","EDUCATION","direct",105000,1707,"Irbid"
"4401","Refugee","CARE","Irbid Governorate","PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","PROTECTION","direct",60000,1707,"Irbid"
"4436","Refugee","Intersos","Irbid Governorate","EDU[REF3.3]Alternative Education","[REF3.3.1]Informal Education","EDUCATION","direct",273280,1707,"Irbid"
"4442","Refugee","NRC","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",4e+05,1707,"Irbid"
"4456","Refugee","ACF","Irbid Governorate","WASH [REF1.5]Water Conservation","[REF1.5.1]Conserv. In camps/urban","WASH ","direct",56000,1707,"Irbid"
"4469","Refugee","JHAS","Irbid Governorate","SHLT[REF2.3]Upgrade Housing Units","[REF2.3.1]Upgrade Housing urban/rural","SHELTER","direct",548754.5,1707,"Irbid"
"4472","Refugee","ICMC","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",75278,1707,"Irbid"
"4474","Refugee","WVI","Irbid Governorate","EDU[REF3.2]Acces to Formal Education","[REF3.2.3]School Supplies","EDUCATION","indirect",747814,1707,"Irbid"
"4483","Refugee","Caritas","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",38500,1707,"Irbid"
"4489","Refugee","UNHCR","Irbid Governorate","PROT[REF1.4]Child Protection","[REF1.4.4]Access Multi-Sector services","PROTECTION","direct",90938,1707,"Irbid"
"4491","Refugee","Caritas","Irbid Governorate","WASH [REF2.2]Sanitation in Urban","[REF2.2.2]Household wastewater mngt","WASH ","direct",14915,1707,"Irbid"
"4499","Refugee","Caritas","Irbid Governorate","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","HEALTH","direct",360169.5,1707,"Irbid"
"4506","Refugee","ICMC","Irbid Governorate","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","SHELTER","direct",328902,1707,"Irbid"
"4507","Refugee","WVI","Irbid Governorate","EDU[REF3.2]Acces to Formal Education","[REF3.2.1]School renovation/equip","EDUCATION","indirect",747814,1707,"Irbid"
"4511","Refugee","ACF","Irbid Governorate","WASH [REF2.3]Sanit.Repair/Ext","[REF2.3.1]Sewage Treatment in urban","WASH ","direct",4e+05,1707,"Irbid"
"4516","Refugee","ACF","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",85000,1707,"Irbid"
"4522","Refugee","NRC","Irbid Governorate","SHLT[REF2.3]Upgrade Housing Units","[REF2.3.1]Upgrade Housing urban/rural","SHELTER","direct",2100000,1707,"Irbid"
"4523","Refugee","Intersos","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","PROTECTION","direct",17682,1707,"Irbid"
"4529","Refugee","CARE","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",160000,1707,"Irbid"
"4541","Refugee","WVI","Irbid Governorate","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.2]Engage Parents & Communities","EDUCATION","direct",3900000,1707,"Irbid"
"4542","Refugee","Mercy Corps","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","PROTECTION","direct",67500,1707,"Irbid"
"4571","Refugee","Intersos","Irbid Governorate","WASH [REF2.2]Sanitation in Urban","[REF2.2.1]Sanitation improv. In urban","WASH ","direct",242400,1707,"Irbid"
"4576","Refugee","WVI","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","direct",858237,1707,"Irbid"
"4604","Refugee","TDH","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","PROTECTION","direct",8839,1707,"Irbid"
"4612","Refugee","WVI","Irbid Governorate","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.1]Strategy to reduce violence","EDUCATION","direct",3900000,1707,"Irbid"
"4613","Refugee","IRC","Irbid Governorate","HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","HEALTH","direct",22000,1707,"Irbid"
"4617","Refugee","ZOA","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","BASIC NEEDS","indirect",30000,1707,"Irbid"
"4618","Refugee","NRC","Irbid Governorate","EDU[REF3.3]Alternative Education","[REF3.3.1]Informal Education","EDUCATION","direct",450000,1707,"Irbid"
"4621","Refugee","UNICEF","Irbid Governorate","WASH [REF2.2]Sanitation in Urban","[REF2.2.1]Sanitation improv. In urban","WASH ","indirect",112222,1707,"Irbid"
"4627","Refugee","IRC","Irbid Governorate","PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","PROTECTION","direct",1500,1707,"Irbid"
"4640","Refugee","WarChild UK","Irbid Governorate","PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","PROTECTION","direct",20000,1707,"Irbid"
"4658","Refugee","WVI","Irbid Governorate","EDU[REF3.2]Acces to Formal Education","[REF3.2.1]School renovation/equip","EDUCATION","direct",8306.67,1707,"Irbid"
"4668","Refugee","NEF","Irbid Governorate","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.4]Social Cohesion","EDUCATION","direct",10976,1707,"Irbid"
"4670","Refugee","Caritas","Irbid Governorate","PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","PROTECTION","direct",2542,1707,"Irbid"
"4671","Refugee","Caritas","Irbid Governorate","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","SHELTER","direct",132280,1707,"Irbid"
"4674","Refugee","ACF","Irbid Governorate","FOOD/LIV[1.1]Improve Food Access","[REF1.1.3]Comprehensive Assessments","FOOD/LIVELIHOOD","direct",30000,1707,"Irbid"
"4681","Refugee","Intersos","Irbid Governorate","WASH [REF1.2]Access to Water in Urban","[REF1.2.2]Household Water Improv.","WASH ","direct",24800,1707,"Irbid"
"4684","Refugee","NRC","Irbid Governorate","WASH [REF1.5]Water Conservation","[REF1.5.1]Conserv. In camps/urban","WASH ","direct",319410,1707,"Irbid"
"4686","Refugee","ACF","Irbid Governorate","HLTH[REF1.1]Essential Primary Health Care","[REF1.1.5]IYCF practices promoted","HEALTH","direct",150000,1707,"Irbid"
"4693","Refugee","ACF","Irbid Governorate","WASH [REF1.2]Access to Water in Urban","[REF1.2.2]Household Water Improv.","WASH ","direct",420000,1707,"Irbid"
"4696","Refugee","Intersos","Irbid Governorate","SHLT[REF2.1]Cash for Rent","[REF2.1.1]Cash for Rent","SHELTER","direct",288800,1707,"Irbid"
"4709","Refugee","Caritas","Irbid Governorate","EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.4]Social Cohesion","EDUCATION","direct",6356,1707,"Irbid"
"4710","Refugee","WarChild UK","Irbid Governorate","EDU[REF2.1]Train Education Providers","[REF2.1.1]Train Service Providers","EDUCATION","direct",23000,1707,"Irbid"
"4730","Refugee","ICMC","Irbid Governorate","WASH [REF3.2]Hygiene in Urban","[REF3.2.1]Hygiene promotion","WASH ","direct",96434,1707,"Irbid"
"4744","Refugee","CARE","Irbid Governorate","BN[REF2.1]Life Saving Basic Needs","[REF2.1.5]Winterization needs out of Camp","BASIC NEEDS","direct",4e+05,1707,"Irbid"
