"","Governorate","sector","activity","partner","Area","Refugee.Camps","End","Total","Objective","Sector","Output","Implementation","RegionCODE","Area2","units"
"2773",,"EDU[REF3.3]Alternative Education","[REF3.3.2]Informal Education","UNICEF","Country Wide",,"2016-12",56,"Alternative Education","EDUCATION","Informal Education","indirect",1,"Country Wide Intervention","# of girls"
"2774",,"EDU[REF3.1]EarlyChildhood","[REF3.1.1]Access to KG centres","UNICEF","Country Wide",,"2016-12",330,"EarlyChildhood","EDUCATION","Access to KG centres","indirect",1,"Country Wide Intervention","# of girls"
"2775",,"EDU[REF3.2]Acces to Formal Education","[REF3.2.3]School Supplies","UNICEF","Country Wide",,"2016-12",12500,"Acces to Formal Education","EDUCATION","School Supplies","indirect",1,"Country Wide Intervention","# of boys"
"2776",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UNHCR","Country Wide",,"2016-12",650,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","# girls"
"2777",,"HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.4]Mat/Child Health mngt","UNICEF","Country Wide",,"2016-12",5000,"Integrated Community Intervs.","HEALTH","Mat/Child Health mngt","indirect",1,"Country Wide Intervention","#"
"2778",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UNICEF","Country Wide",,"2016-12",200,"SGBV","PROTECTION","Acess to multi-sector services","indirect",1,"Country Wide Intervention","# women"
"2779",,"HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.4]Mat/Child Health mngt","UNICEF","Country Wide",,"2016-12",131000,"Integrated Community Intervs.","HEALTH","Mat/Child Health mngt","indirect",1,"Country Wide Intervention","$"
"2780",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","IMC","Country Wide",,"2016-12",30,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","# girls"
"2781",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UPP","Country Wide",,"2016-12",28,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","# boys"
"2782",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","PU-AMI","Country Wide",,"2016-12",0,"Essential Primary Health Care","HEALTH","SGBV clinical services","indirect",1,"Country Wide Intervention","#"
"2783",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","IRD","Country Wide",,"2016-02",55,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2784",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","PU-AMI","Country Wide",,"2016-12",0,"Essential Primary Health Care","HEALTH","SGBV clinical services","indirect",1,"Country Wide Intervention","#"
"2785",,"HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.2]Rehabilitation/impairment","HI","Country Wide",,"2016-12",100,"Secondary/Tertiary Care","HEALTH","Rehabilitation/impairment","indirect",1,"Country Wide Intervention","%"
"2786",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UPP","Country Wide",,"2016-12",36,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","# men"
"2787",,"PROT[REF1.4]Child Protection","[REF1.4.4]Access Multi-Sector services","UNHCR","Country Wide",,"2016-12",0,"Child Protection","PROTECTION","Access Multi-Sector services","direct",1,"Country Wide Intervention","# BIAs"
"2788",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","HI","Country Wide",,"2016-12",1166667,"MHPSS / Disabilities","PROTECTION","Special Needs/Disabled/Elderly","direct",1,"Country Wide Intervention","USD $"
"2789",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","PU-AMI","Country Wide",,"2016-12",1,"Essential Primary Health Care","HEALTH","SGBV clinical services","indirect",1,"Country Wide Intervention","#"
"2790",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","UNHCR","Country Wide",,"2016-12",2000,"MHPSS / Disabilities","PROTECTION","Safe Spaces/Comm. Centres","indirect",1,"Country Wide Intervention","# women"
"2791",,"PROT[REF1.4]Child Protection","[REF1.4.3]Community-Based Mechnms.","UNICEF","Country Wide",,"2016-12",10000,"Child Protection","PROTECTION","Community-Based Mechnms.","indirect",1,"Country Wide Intervention","# girls"
"2792",,"BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","SIF","Country Wide",,"2016-12",150,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1,"Country Wide Intervention","#"
"2793",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","APS","Country Wide",,"2016-12",100,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","%"
"2794",,"BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","SIF","Country Wide",,"2016-12",460,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1,"Country Wide Intervention","#"
"2795",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","JHAS","Country Wide",,"2016-12",2,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2796",,"BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","SIF","Country Wide",,"2016-12",171,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1,"Country Wide Intervention","#"
"2797",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","JHAS","Country Wide",,"2016-12",22,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2798",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","IRD","Country Wide",,"2016-02",60,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2799",,"HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","UNHCR","Country Wide",,"2016-12",396,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","indirect",1,"Country Wide Intervention","#"
"2800",,"EDU[REF2.1]Train Education Providers","[REF2.1.1]Train Service Providers","UNICEF","Country Wide",,"2016-12",471437,"Train Education Providers","EDUCATION","Train Service Providers","indirect",1,"Country Wide Intervention","USD $"
"2801",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","PU-AMI","Country Wide",,"2016-12",2,"Essential Primary Health Care","HEALTH","SGBV clinical services","indirect",1,"Country Wide Intervention","#"
"2802",,"PROT[REF1.1]Refugee Rights Respected","[REF1.1.1]Border Reception/Transport/Comm. Po","UNHCR","Country Wide",,"2016-12",2461496,"Refugee Rights Respected","PROTECTION","Border Reception/Transport/Comm. Po","direct",1,"Country Wide Intervention","USD $"
"2803",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","JHAS","Country Wide",,"2016-12",22,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2804",,"PROT[REF1.4]Child Protection","[REF1.4.4]Access Multi-Sector services","UNHCR","Country Wide",,"2016-12",150,"Child Protection","PROTECTION","Access Multi-Sector services","indirect",1,"Country Wide Intervention","# boys"
"2805",,"PROT[REF1.1]Refugee Rights Respected","[REF1.1.1]Border Reception/Transport/Comm. Po","UNHCR","Country Wide",,"2016-12",4,"Refugee Rights Respected","PROTECTION","Border Reception/Transport/Comm. Po","direct",1,"Country Wide Intervention","# interventions"
"2806",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.2]Community self-mngmt","UNICEF","Country Wide",,"2016-12",2500,"MHPSS / Disabilities","PROTECTION","Community self-mngmt","indirect",1,"Country Wide Intervention","# youth"
"2807",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","Caritas","Country Wide",,"2016-12",55,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","# women"
"2808",,"PROT[REF1.1]Refugee Rights Respected","[REF1.1.2]Registration and Profiling","UNHCR","Country Wide",,"2016-12",0,"Refugee Rights Respected","PROTECTION","Registration and Profiling","indirect",1,"Country Wide Intervention","%"
"2809",,"EDU[REF3.1]EarlyChildhood","[REF3.1.1]Access to KG centres","UNICEF","Country Wide",,"2016-12",0,"EarlyChildhood","EDUCATION","Access to KG centres","indirect",1,"Country Wide Intervention","%"
"2810",,"PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","OXFAM","Country Wide",,"2016-12",349,"SGBV","PROTECTION","Community members engaged","direct",1,"Country Wide Intervention","# men"
"2811",,"EDU[REF3.1]EarlyChildhood","[REF3.1.1]Access to KG centres","UNICEF","Country Wide",,"2016-12",400,"EarlyChildhood","EDUCATION","Access to KG centres","indirect",1,"Country Wide Intervention","# of boys"
"2812",,"HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","QRC","Country Wide",,"2016-12",309,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","indirect",1,"Country Wide Intervention","#"
"2813",,"PROT[REF1.1]Refugee Rights Respected","[REF1.1.4]Resettlement","UNHCR","Country Wide",,"2016-12",100,"Refugee Rights Respected","PROTECTION","Resettlement","direct",1,"Country Wide Intervention","# individuals"
"2814",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","IRC","Country Wide",,"2016-12",560,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","# women"
"2815",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","UNFPA","Country Wide",,"2016-12",1800,"MHPSS / Disabilities","PROTECTION","Safe Spaces/Comm. Centres","indirect",1,"Country Wide Intervention","# girls"
"2816",,"PROT[REF1.1]Refugee Rights Respected","[REF1.1.4]Resettlement","UNHCR","Country Wide",,"2016-12",0,"Refugee Rights Respected","PROTECTION","Resettlement","direct",1,"Country Wide Intervention","%"
"2817",,"JUS[REF1.1]Refugee Legal Assistance","[REF1.1.1]Access to Legal Assistance","UNHCR","Country Wide",,"2016-12",25,"Refugee Legal Assistance","JUS","Access to Legal Assistance","direct",1,"Country Wide Intervention","# men"
"2818",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","IRD","Country Wide",,"2016-02",49,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2819",,"JUS[REF1.1]Refugee Legal Assistance","[REF1.1.1]Access to Legal Assistance","UNHCR","Country Wide",,"2016-12",15,"Refugee Legal Assistance","JUS","Access to Legal Assistance","direct",1,"Country Wide Intervention","# women"
"2820",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UNICEF","Country Wide",,"2016-12",10,"SGBV","PROTECTION","Acess to multi-sector services","indirect",1,"Country Wide Intervention","# men"
"2821",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UNICEF","Country Wide",,"2016-12",20,"SGBV","PROTECTION","Acess to multi-sector services","indirect",1,"Country Wide Intervention","# men"
"2822",,"HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.4]Mat/Child Health mngt","UNICEF","Country Wide",,"2016-12",2000,"Integrated Community Intervs.","HEALTH","Mat/Child Health mngt","indirect",1,"Country Wide Intervention","#"
"2823",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UPP","Country Wide",,"2016-12",21,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","# boys"
"2824",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","IRD","Country Wide",,"2016-02",381,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2825",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.2]Community self-mngmt","IOM","Country Wide",,"2016-12",0,"MHPSS / Disabilities","PROTECTION","Community self-mngmt","direct",1,"Country Wide Intervention","# boys"
"2826",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UNFPA","Country Wide",,"2016-12",0,"SGBV","PROTECTION","Acess to multi-sector services","indirect",1,"Country Wide Intervention","%"
"2827",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UNFPA","Country Wide",,"2016-12",25,"SGBV","PROTECTION","Acess to multi-sector services","indirect",1,"Country Wide Intervention","# boys"
"2828",,"PROT[REF1.4]Child Protection","[REF1.4.3]Community-Based Mechnms.","UNICEF","Country Wide",,"2016-12",2500,"Child Protection","PROTECTION","Community-Based Mechnms.","indirect",1,"Country Wide Intervention","# girls"
"2829",,"PROT[REF1.4]Child Protection","[REF1.4.3]Community-Based Mechnms.","UNICEF","Country Wide",,"2016-12",12500,"Child Protection","PROTECTION","Community-Based Mechnms.","indirect",1,"Country Wide Intervention","# boys"
"2830",,"PROT[REF1.4]Child Protection","[REF1.4.3]Community-Based Mechnms.","UNICEF","Country Wide",,"2016-12",15000,"Child Protection","PROTECTION","Community-Based Mechnms.","indirect",1,"Country Wide Intervention","# men"
"2831",,"EDU[REF3.1]EarlyChildhood","[REF3.1.4]Parent outreach","UNICEF","Country Wide",,"2016-12",43250,"EarlyChildhood","EDUCATION","Parent outreach","indirect",1,"Country Wide Intervention","# of Benef"
"2832",,"EDU[REF3.1]EarlyChildhood","[REF3.1.4]Parent outreach","UNICEF","Country Wide",,"2016-12",0,"EarlyChildhood","EDUCATION","Parent outreach","indirect",1,"Country Wide Intervention","USD $"
"2833",,"EDU[REF3.3]Alternative Education","[REF3.3.3]Life Skills","UNICEF","Country Wide",,"2016-12",4467960,"Alternative Education","EDUCATION","Life Skills","indirect",1,"Country Wide Intervention","USD $"
"2834",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","UNICEF","Country Wide",,"2016-12",3260,"MHPSS / Disabilities","PROTECTION","Safe Spaces/Comm. Centres","indirect",1,"Country Wide Intervention","# women"
"2835",,"EDU[REF3.3]Alternative Education","[REF3.3.3]Life Skills","UNICEF","Country Wide",,"2016-12",32500,"Alternative Education","EDUCATION","Life Skills","indirect",1,"Country Wide Intervention","# of Benef"
"2836",,"EDU[REF2.2]Safe, Violence Free Envirn","[REF2.2.4]Social Cohesion","UNICEF","Country Wide",,"2016-12",1192,"Safe, Violence Free Envirn","EDUCATION","Social Cohesion","indirect",1,"Country Wide Intervention","# of boys"
"2837",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","UNHCR","Country Wide",,"2016-12",15000,"MHPSS / Disabilities","PROTECTION","Safe Spaces/Comm. Centres","direct",1,"Country Wide Intervention","# women"
"2838",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","UNICEF","Country Wide",,"2016-12",13255,"MHPSS / Disabilities","PROTECTION","Safe Spaces/Comm. Centres","indirect",1,"Country Wide Intervention","# men"
"2839",,"HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","UNHCR","Country Wide",,"2016-12",2887,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","indirect",1,"Country Wide Intervention","#"
"2840",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","JHAS","Country Wide",,"2016-12",2,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2841",,"HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","UNHCR","Country Wide",,"2016-12",396,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","indirect",1,"Country Wide Intervention","#"
"2842",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","UNHCR","Country Wide",,"2016-12",2834138,"MHPSS / Disabilities","PROTECTION","Special Needs/Disabled/Elderly","indirect",1,"Country Wide Intervention","USD $"
"2843",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","CARE","Country Wide",,"2016-12",75000,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","USD $"
"2844",,"HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","UNHCR","Country Wide",,"2016-12",6879400,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","indirect",1,"Country Wide Intervention","$"
"2845",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","IRD","Country Wide",,"2016-02",23,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2846",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","UNFPA","Country Wide",,"2016-12",1570,"MHPSS / Disabilities","PROTECTION","Safe Spaces/Comm. Centres","indirect",1,"Country Wide Intervention","# women"
"2847",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","UNICEF","Country Wide",,"2016-12",13959,"MHPSS / Disabilities","PROTECTION","Safe Spaces/Comm. Centres","indirect",1,"Country Wide Intervention","# girls"
"2848",,"HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","UNICEF","Country Wide",,"2016-12",1600,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","indirect",1,"Country Wide Intervention","#"
"2849",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","UNFPA","Country Wide",,"2016-12",1e+06,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","indirect",1,"Country Wide Intervention","USD $"
"2850",,"PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","UNFPA","Country Wide",,"2016-12",2581,"SGBV","PROTECTION","Community members engaged","indirect",1,"Country Wide Intervention","# girls"
"2851",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","IRD","Country Wide",,"2016-02",20625,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","$"
"2852",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","IRD","Country Wide",,"2016-02",163,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2853",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","IRD","Country Wide",,"2016-02",60,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2854",,"EDU[REF3.1]EarlyChildhood","[REF3.1.1]Access to KG centres","UNICEF","Country Wide",,"2016-12",0,"EarlyChildhood","EDUCATION","Access to KG centres","indirect",1,"Country Wide Intervention","USD $"
"2855",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","HI","Country Wide",,"2016-12",280,"MHPSS / Disabilities","PROTECTION","Special Needs/Disabled/Elderly","direct",1,"Country Wide Intervention","# boys"
"2856",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","UNFPA","Country Wide",,"2016-12",130,"MHPSS / Disabilities","PROTECTION","Safe Spaces/Comm. Centres","indirect",1,"Country Wide Intervention","# girls"
"2857",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","IRD","Country Wide",,"2016-02",55,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2858",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","IRD","Country Wide",,"2016-02",60,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2859",,"HLTH[REF1.3]Integrated Community Intervs.","[REF1.3.4]Mat/Child Health mngt","UNICEF","Country Wide",,"2016-12",2000,"Integrated Community Intervs.","HEALTH","Mat/Child Health mngt","indirect",1,"Country Wide Intervention","#"
"2860",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UNICEF","Country Wide",,"2016-12",300,"SGBV","PROTECTION","Acess to multi-sector services","indirect",1,"Country Wide Intervention","# girls"
"2861",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UPP","Country Wide",,"2016-12",12,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","# boys"
"2862",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UPP","Country Wide",,"2016-12",56,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","# girls"
"2863",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","IRD","Country Wide",,"2016-02",49,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2864",,"PROT[REF1.4]Child Protection","[REF1.4.4]Access Multi-Sector services","UNHCR","Country Wide",,"2016-12",0,"Child Protection","PROTECTION","Access Multi-Sector services","direct",1,"Country Wide Intervention","# BIAs"
"2865",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UPP","Country Wide",,"2016-12",16763,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","USD $"
"2866",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UNICEF","Country Wide",,"2016-12",0,"SGBV","PROTECTION","Acess to multi-sector services","indirect",1,"Country Wide Intervention","%"
"2867",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UNICEF","Country Wide",,"2016-12",600,"SGBV","PROTECTION","Acess to multi-sector services","indirect",1,"Country Wide Intervention","# girls"
"2868",,"HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.2]Rehabilitation/impairment","HI","Country Wide",,"2016-12",112,"Secondary/Tertiary Care","HEALTH","Rehabilitation/impairment","indirect",1,"Country Wide Intervention","#"
"2869",,"PROT[REF1.4]Child Protection","[REF1.4.3]Community-Based Mechnms.","UNICEF","Country Wide",,"2016-12",0,"Child Protection","PROTECTION","Community-Based Mechnms.","indirect",1,"Country Wide Intervention","%"
"2870",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.1]Information, referral and outreach","OXFAM","Country Wide",,"2016-12",639,"MHPSS / Disabilities","PROTECTION","Information, referral and outreach","direct",1,"Country Wide Intervention","# girls"
"2871",,"PROT[REF1.4]Child Protection","[REF1.4.3]Community-Based Mechnms.","UNICEF","Country Wide",,"2016-12",200,"Child Protection","PROTECTION","Community-Based Mechnms.","indirect",1,"Country Wide Intervention","# women"
"2872",,"BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","SIF","Country Wide",,"2016-12",175,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1,"Country Wide Intervention","#"
"2873",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","UNICEF","Country Wide",,"2016-12",31080,"MHPSS / Disabilities","PROTECTION","Safe Spaces/Comm. Centres","indirect",1,"Country Wide Intervention","# boys"
"2874",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","UNICEF","Country Wide",,"2016-12",31080,"MHPSS / Disabilities","PROTECTION","Safe Spaces/Comm. Centres","indirect",1,"Country Wide Intervention","# girls"
"2875",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.3]Special Needs/Disabled/Elderly","UNHCR","Country Wide",,"2016-12",0,"MHPSS / Disabilities","PROTECTION","Special Needs/Disabled/Elderly","indirect",1,"Country Wide Intervention","%"
"2876",,"BN[REF2.1]Life Saving Basic Needs","[REF2.1.3]Support towards basic needs","SIF","Country Wide",,"2016-12",150000,"Life Saving Basic Needs","BASIC NEEDS","Support towards basic needs","direct",1,"Country Wide Intervention","$"
"2877",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","JHAS","Country Wide",,"2016-12",22,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","#"
"2878",,"PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","OXFAM","Country Wide",,"2016-12",269,"SGBV","PROTECTION","Community members engaged","direct",1,"Country Wide Intervention","# women"
"2879",,"PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","OXFAM","Country Wide",,"2016-12",65416,"SGBV","PROTECTION","Community members engaged","direct",1,"Country Wide Intervention","USD $"
"2880",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.4]Safe Spaces/Comm. Centres","UNICEF","Country Wide",,"2016-12",45,"MHPSS / Disabilities","PROTECTION","Safe Spaces/Comm. Centres","indirect",1,"Country Wide Intervention","#"
"2881",,"EDU[REF3.3]Alternative Education","[REF3.3.1]Non Formal Education","UNICEF","Country Wide",,"2016-12",1500,"Alternative Education","EDUCATION","Non Formal Education","indirect",1,"Country Wide Intervention","# of Benef"
"2882",,"EDU[REF3.2]Acces to Formal Education","[REF3.2.3]School Supplies","UNICEF","Country Wide",,"2016-12",0,"Acces to Formal Education","EDUCATION","School Supplies","indirect",1,"Country Wide Intervention","# of girls"
"2883",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","IRC","Country Wide",,"2016-12",10,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","# boys"
"2884",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","IRC","Country Wide",,"2016-12",2,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","# men"
"2885",,"PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","UNICEF","Country Wide",,"2016-12",150,"SGBV","PROTECTION","Community members engaged","indirect",1,"Country Wide Intervention","# girls"
"2886",,"PROT[REF1.3]SGBV","[REF.1.3.2]Acess to multi-sector services","UNHCR","Country Wide",,"2016-12",1700,"SGBV","PROTECTION","Acess to multi-sector services","direct",1,"Country Wide Intervention","# women"
"2887",,"PROT[REF1.3]SGBV","[REF1.3.1]Community members engaged","UNICEF","Country Wide",,"2016-12",100,"SGBV","PROTECTION","Community members engaged","indirect",1,"Country Wide Intervention","# men"
"2888",,"HLTH[REF1.2]Secondary/Tertiary Care","[REF1.2.5]Secondary/Tertiary Referrals","UNICEF","Country Wide",,"2016-12",0,"Secondary/Tertiary Care","HEALTH","Secondary/Tertiary Referrals","indirect",1,"Country Wide Intervention","%"
"2889",,"PROT[REF1.1]Refugee Rights Respected","[REF1.1.2]Registration and Profiling","UNHCR","Country Wide",,"2016-12",2266346,"Refugee Rights Respected","PROTECTION","Registration and Profiling","indirect",1,"Country Wide Intervention","USD $"
"2890",,"HLTH[REF1.1]Essential Primary Health Care","[REF1.1.4]SGBV clinical services","IRD","Country Wide",,"2016-02",10,"Essential Primary Health Care","HEALTH","SGBV clinical services","direct",1,"Country Wide Intervention","%"
"2891",,"PROT[REF1.3]SGBV","[REF.1.3.3]Capacity of Service Providers","UNFPA","Country Wide",,"2016-12",0,"SGBV","PROTECTION","Capacity of Service Providers","indirect",1,"Country Wide Intervention","%"
"2892",,"PROT[REF1.3]SGBV","[REF.1.3.3]Capacity of Service Providers","UNFPA","Country Wide",,"2016-12",2,"SGBV","PROTECTION","Capacity of Service Providers","indirect",1,"Country Wide Intervention","#"
"2893",,"PROT[REF1.2]MHPSS / Disabilities","[REF1.2.2]Community self-mngmt","UNHCR","Country Wide",,"2016-12",50,"MHPSS / Disabilities","PROTECTION","Community self-mngmt","direct",1,"Country Wide Intervention","# youth"
