"","ActivityCategory","ActivityName","FormFieldType","Category","Name","Description","Units","AttributeValue","ReportingFrequency","LocationType","multipleAllowed","mandatory","sort"
"278","PROT[2]Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"301","PROT[2]Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","Indicator","Indicator","# of FHH receiving financial assistance","","# of case","","Once","SyrRefRespRRP6","","",""
"303","PROT[2]Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","Indicator","Indicator","# of MHH receiving financial assistance","","# of case","","Once","SyrRefRespRRP6","","",""
"302","PROT[2]Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","Indicator","Indicator","# of WGBM in FHH receiving financial assistance","","# of benef.","","Once","SyrRefRespRRP6","","",""
"304","PROT[2]Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","Indicator","Indicator","# of WGBM in MHH receiving financial assistance","","# of benef.","","Once","SyrRefRespRRP6","","",""
"299","PROT[2]Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","Indicator","Indicator","# of WGBM receiving assistive tools","","# of benef.","","Once","SyrRefRespRRP6","","",""
"300","PROT[2]Community Empowered; Services to Vuln","[REF2.3]Persons w/Special Needs","Indicator","Indicator","# of WGBM receiving rehabilitation sessions and counselling","","# of benef.","","Once","SyrRefRespRRP6","","",""
"9","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"27","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"45","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"63","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"81","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"99","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"117","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"135","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"153","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"171","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"189","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"207","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"225","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"243","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"261","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"279","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"306","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Indicator","# of CFS/AFS operational","","# of action taken","","Once","SyrRefRespRRP6","","",""
"305","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Indicator","# of WGBM accessing PSS services (level 2 & 3)","","# of action taken","","Once","SyrRefRespRRP6","","",""
"308","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Indicator","# of community centres operational","","# of action taken","","Once","SyrRefRespRRP6","","",""
"307","PROT[2]Community Empowered; Services to Vuln","[REF2.4]Psychosocial Support","Indicator","Indicator","# of women safe spaces operational","","# of action taken","","Once","SyrRefRespRRP6","","",""
"10","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"28","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"46","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"64","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"82","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"100","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"118","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"136","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"154","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"172","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"190","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"208","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"226","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"244","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"262","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"280","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"309","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Indicator","# of CSPs implemented","","# of infrastruct.","","Once","SyrRefRespRRP6","","",""
"310","PROT[2]Community Empowered; Services to Vuln","[REF2.5]Social Cohesion/Coexistence","Indicator","Indicator","# of WGBM benefiting from CSPs","","# of benef.","","Once","SyrRefRespRRP6","","",""
"11","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"29","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"47","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"65","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"83","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"101","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"119","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"137","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"155","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"173","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"191","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"209","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"227","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"245","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"263","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"281","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"311","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Indicator"," # sensitized on SGBV issues, services available and referral pathways
","","# of staff","","Once","SyrRefRespRRP6","","",""
"312","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Indicator","# of GoJ officials, civil society & humanitarian workers trained on CP (gender disaggregated)","","# of staff","","Once","SyrRefRespRRP6","","",""
"313","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Indicator","# of GoJ officials, civil society & humanitarian workers trained on CP (gender disaggregated)","","# of staff","","Once","SyrRefRespRRP6","","",""
"314","PROT[3]SGBV Prevention & Response","[REF3.1]Community Prevention initiatives","Indicator","Indicator","# of GoJ officials, civil society & humanitarian workers trained on CP (gender disaggregated)","","# of staff","","Once","SyrRefRespRRP6","","",""
"12","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"30","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"48","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"66","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"84","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"102","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"120","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"138","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"156","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"174","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"192","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"210","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"228","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"246","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"264","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"282","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"315","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Indicator","# of SGBV Survivors benefiting from timely safe, confidential and survivor centered case management and multisectoral services","","# of action taken","","Once","SyrRefRespRRP6","","",""
"316","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Indicator","A common situation monitoring framework is in place, including indicators, data collection methods and frequency of data collection (yes/no)","","Yes=1/No=1","","Once","SyrRefRespRRP6","","",""
"317","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Indicator","A common situation monitoring framework is in place, including indicators, data collection methods and frequency of data collection (yes/no)","","Yes=1/No=1","","Once","SyrRefRespRRP6","","",""
"318","PROT[3]SGBV Prevention & Response","[REF3.2]Survivors Access MultiSector Services","Indicator","Indicator","A common situation monitoring framework is in place, including indicators, data collection methods and frequency of data collection (yes/no)","","Yes=1/No=1","","Once","SyrRefRespRRP6","","",""
"13","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"31","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"49","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"67","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"85","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"103","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"121","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"139","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"157","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"175","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"193","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"211","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"229","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"247","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"265","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"283","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"320","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Indicator","# of community members, including children, sensitized on CP issues, services available and referral pathways (age & gender disaggregated) (includes inter-agency information campaigns)","","# of benef.","","Once","SyrRefRespRRP6","","",""
"321","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Indicator","# of community members, including children, sensitized on CP issues, services available and referral pathways (age & gender disaggregated) (includes inter-agency information campaigns)","","# of benef.","","Once","SyrRefRespRRP6","","",""
"322","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Indicator","# of community members, including children, sensitized on CP issues, services available and referral pathways (age & gender disaggregated) (includes inter-agency information campaigns)","","# of benef.","","Once","SyrRefRespRRP6","","",""
"319","PROT[3]SGBV Prevention & Response","[REF3.3]Referral Capacity Available","Indicator","Indicator","#of Government and non-Government actors  trained on SGBV referral pathways and core principles of working with survivors of SGBV","","# of staff","","Once","SyrRefRespRRP6","","",""
"14","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"32","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"50","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"68","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"86","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"104","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"122","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"140","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"158","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"176","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"194","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"212","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Breakdown of main indicator","Women (Age 18 and above)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"230","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"248","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Breakdown of main indicator","Women (Age 18 and above)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"266","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Budget","Budgetary Requirement for 2015","","USD $","","Once","SyrRefRespRRP6","","",""
"284","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Budget","NLG Budget  
(as part of the overall budget)","","USD $","","Once","SyrRefRespRRP6","","",""
"324","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Indicator","# of UAC, SC, and children at risk provided with multi-sectoral services (age & gender disaggregated)","","# of benef.","","Once","SyrRefRespRRP6","","",""
"325","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Indicator","# of UAC, SC, and children at risk provided with multi-sectoral services (age & gender disaggregated)","","# of benef.","","Once","SyrRefRespRRP6","","",""
"326","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Indicator","# of UAC, SC, and children at risk provided with multi-sectoral services (age & gender disaggregated)","","# of benef.","","Once","SyrRefRespRRP6","","",""
"323","PROT[3]SGBV Prevention & Response","[REF3.4]SGBV/SEA Risk Mitigation","Indicator","Indicator","to be reformulated","","Yes=1/No=1","","Once","SyrRefRespRRP6","","",""
"15","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","AttributeGroup","","Implementation (Direct/Indirect)","","","Direct Implementation","Once","SyrRefRespRRP6","","",""
"33","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","AttributeGroup","","Implementation (Direct/Indirect)","","","Indirect Implementation","Once","SyrRefRespRRP6","","",""
"51","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Breakdown of main indicator","Boys (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"69","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"87","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Breakdown of main indicator","Boys (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"105","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Breakdown of main indicator","Girls (Age 0-17)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"123","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
"141","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Breakdown of main indicator","Girls (Age 0-17)-SYR living in communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"159","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-Members of impacted communities","","# of benef.","","Once","SyrRefRespRRP6","","",""
"177","PROT[4]Child Protection","[REF4.1]CP Systems Capacity Increased","Indicator","Breakdown of main indicator","Men (Age 18 and Abocve)-SYR living in camps","","# of benef.","","Once","SyrRefRespRRP6","","",""
